notice_id,errors,flags,got_no_persons,got_nothing,labels,might_have_unparsed_persons,officers
1063434,,3,,,1,,1
1066539,,,,,,,1
1068463,,3,,,1,1,1
1074657,,,1,1,,,
1081054,,2,,,,,2
1083599,,4,,,1,,1
1083600,,,1,1,,,
1088713,,,1,1,,,
1091542,,1,,,1,,1
1094390,,2,,,1,,1
1094478,,1,1,,,,
1095823,,4,,,1,,1
1099875,,1,,,1,,1
1106912,,,1,,1,,
1107151,,,,,,,2
1108166,,4,,,1,,1
1120185,,,1,,1,,
1127973,,,1,1,,,
1131776,,,1,,1,,
1135172,,,,,,,1
1136573,,2,,,,,2
1140164,,1,1,,,1,
1140824,,1,,,1,,1
1143633,,,1,1,,,
1145780,1,,,,,1,1
1151407,2,,,,,1,1
1158007,,,,,,,1
1158095,,,1,,1,,
1159884,,,,,,,3
1161724,,3,,,1,,1
1166613,,,,,,1,2
1171561,,,1,,1,,
1175551,,,,,,,1
1179433,,,1,1,,,
1180621,,1,,,1,,1
1184535,,,1,1,,,
1186735,,,1,1,,,
1191022,,,1,,1,,
1194208,,2,,,1,,1
1204389,,,1,1,,,
1208204,,,1,,1,,
1228935,,1,1,,,,
1237671,,3,,,1,,1
1243028,,,1,1,,,
1274899,,,1,1,,,
1292512,,3,,,1,,1
1293482,,2,,,1,,1
1294977,,,1,1,,,
1295631,,1,,,,,1
1297070,,1,,,1,,1
1302537,,,,,,,1
1307643,,,,,1,,1
1308508,,,1,1,,,
1310402,,3,,,1,,2
1318431,,,1,,1,,
1321867,,,1,,1,,
1325891,,,,,,,1
1326790,,,1,1,,,
1327316,,1,,,1,,1
1342612,,,,,,,1
1344634,,,,,,1,1
1354642,,,,,,,1
1359724,,,,,1,,2
1362739,,,1,1,,,
1379445,,,1,,1,,
1397295,,,,,,,1
1404692,,,,,,,1
1406233,,,1,1,,,
1407600,,,,,,,1
1418965,,,,,,,3
1434565,,,1,1,,,
1438895,,,1,1,,,
1445267,,,1,1,,,
1445989,,,1,1,,,
1449473,,1,,,,,1
1454860,,,1,1,,,
1473628,,1,,,1,,1
1473833,,,,,,1,1
1476051,,,1,,1,,
1478418,,1,,,,,1
1478480,,,1,1,,,
1479095,,1,,,1,,1
1489218,,1,,,,1,1
1491872,,,1,,1,,
1492582,,3,,,1,,1
1505644,,,1,,1,,
1506863,,,1,,1,,
1513495,,2,,,1,,1
1516861,1,1,1,,1,1,
1520206,,,,,2,,1
1532943,,1,,,2,,3
1537918,,,1,1,,,
1544229,,,1,,1,,
1545368,,,1,1,,,
